Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance,SubstanceCategory,Release Type,Year,WhatHappened,WhyItHappened,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2008-040,Release of Substance,4/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,-120.96341,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2008,Defect & Deterioration,"Failure in communication,Human Factors",Operation,1,
INC2008-041,Release of Substance,4/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,-121.87115,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Maintenance,1,
INC2008-043,Fire,5/1/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73115,-101.2355,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Maintenance,Maintenance,1,
INC2008-045,Release of Substance,5/6/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63826,-108.3544,9.4,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Defect & Deterioration,Standards and Procedures,Construction,1,
INC2008-048,Release of Substance,5/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48386,-104.61447,7,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,"Engineering and Planning,Maintenance",Construction,1,
INC2008-052,Fire,5/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Closed,49.00106,-97.05547,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-055,Adverse Environmental Effects,5/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,-120.37265,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Operation,0,
INC2008-056,Release of Substance,6/5/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5431,-113.35401,8,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-057,Release of Substance,6/6/2008,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87378,-79.57985,270,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Corrosion & Cracking,Standards and Procedures,Operation,0,
INC2008-058,Adverse Environmental Effects,6/9/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,-66.71029,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Construction,1,
INC2008-060,Release of Substance,6/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91204,-98.51757,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-062,Fire,6/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Closed,49.28795,-115.83383,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Standards and Procedures,Operation,1,
INC2008-063,Fatality,6/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63833,-108.35487,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Incorrect Operation,"Human Factors,Inadequate Supervision,Standards and Procedures",Construction,0,
INC2008-067,Release of Substance,7/6/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54745,-113.35577,40,Crude Oil - Synthetic,Low Vapour Pressure Product,Liquid,2008,Incorrect Operation,Maintenance,Operation,1,
INC2008-070,Release of Substance,7/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20731,-101.48747,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Defect & Deterioration,Human Factors,Maintenance,1,
INC2008-072,Release of Substance,7/18/2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,Closed,49.31834,-102.28983,800,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-075,Release of Substance,7/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5416,-113.36454,2,Diesel Fuel,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Standards and Procedures,Operation,1,
INC2008-078,Release of Substance,7/31/2008,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.79469,-85.85655,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Defect & Deterioration,Maintenance,Construction,1,
INC2008-079,Release of Substance,8/8/2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Closed,50.539202,-107.30766,0.5,Propane,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-080,Serious Injury (NEB or TSB),8/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,Closed,53.024796,-119.151198,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Incorrect Operation,"Human Factors,Maintenance,Standards and Procedures,Tools and Equipment",Operation,0,
INC2008-084,Fire,8/26/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.10223,-106.35299,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Maintenance,Construction,1,
INC2008-085,Fire,9/4/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.44373,-107.37839,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Engineering and Planning,Operation,0,
INC2008-086,Release of Substance,8/28/2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.85542,-93.36393,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Corrosion & Cracking,Standards and Procedures,Operation,1,
INC2008-087,Release of Substance,9/5/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14631,-120.6692,0.1,Butane,High Vapour Pressure Product,Gas,2008,External Interference,Human Factors,Construction,1,
INC2008-091,Serious Injury (NEB or TSB),9/16/2008,Pennfield,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.1982,-66.6422,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Standards and Procedures,Operation,1,
INC2008-092,Serious Injury (NEB or TSB),9/16/2008,Valemount,British Columbia,Trans Mountain Pipeline Inc.,Closed,52.83128,-119.2645,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,"External Interference,Incorrect Operation","Engineering and Planning,Human Factors,Inadequate Supervision,Tools and Equipment",Operation,0,
INC2008-095,Release of Substance,9/26/2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68098,-95.37458,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Corrosion & Cracking,Engineering and Planning,Operation,1,
INC2008-097,Fire,10/7/2008,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.33806,-79.24126,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Maintenance,Operation,1,
INC2008-098,Release of Substance,10/16/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91211,-98.51757,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,External Interference,Standards and Procedures,Operation,1,
INC2008-103,Release of Substance,11/4/2008,Reynolds,Manitoba,TransCanada PipeLines Limited,Closed,49.65789,-96.16268,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-109,"Fire,Release of Substance",11/20/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14652,-120.66937,0.005,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-110,Release of Substance,11/21/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20196,-121.5963,10,Condensate,Low Vapour Pressure Product,Liquid,2008,Incorrect Operation,Inadequate Supervision,Operation,0,
INC2008-111,Release of Substance,11/26/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56932,-121.94466,10,Amine,Miscellaneous,Miscellaneous,2008,Defect & Deterioration,Maintenance,Operation,1,
INC2008-112,Fire,11/26/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.03189,-123.03117,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Defect & Deterioration,Maintenance,Maintenance,1,
INC2008-113,"Release of Substance,Adverse Environmental Effects",12/1/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.5692,-121.94446,2,Glycol,Miscellaneous,Miscellaneous,2008,Defect & Deterioration,Standards and Procedures,Operation,0,
INC2008-114,Release of Substance,12/2/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.68017,-96.64917,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,External Interference,Standards and Procedures,Operation,1,
INC2008-115,Fire,12/2/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.63822,-121.65102,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,"Maintenance,Standards and Procedures",Operation,0,
INC2008-119,Release of Substance,12/8/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.032,-123.03098,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Defect & Deterioration,Maintenance,Operation,1,
INC2008-120,Release of Substance,12/9/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.75544,-97.2305,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-121,Adverse Environmental Effects,12/10/2008,Goldboro,Nova Scotia,EnCana Corporation,Closed,45.18253,-61.65236,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Operation,1,
INC2008-123,Fire,12/17/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5474,-113.35571,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Maintenance,Construction,1,
INC2008-128,Release of Substance,1/13/2009,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.76492,-84.91824,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Engineering and Planning,Operation,1,
INC2009-002,Release of Substance,1/15/2009,Lincoln,Ontario,TransCanada PipeLines Limited,Closed,43.11405,-79.46307,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,1,
INC2009-009,Serious Injury (NEB or TSB),2/9/2009,White City,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.44344,-104.35655,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,"Equipment Failure,Incorrect Operation","Human Factors,Maintenance,Standards and Procedures",Operation,0,
INC2009-010,Release of Substance,2/9/2009,Lincoln,Ontario,TransCanada PipeLines Limited,Closed,43.11368,-79.46307,Not Provided,Fuel Gas,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Maintenance,Operation,1,
INC2009-015,"Serious Injury (NEB or TSB),Release of Substance",2/20/2009,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.72686,-121.81832,0.0001,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,"Corrosion & Cracking,Incorrect Operation","Engineering and Planning,Inadequate Supervision",Operation,0,
INC2009-019,Release of Substance,3/5/2009,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91175,-98.51757,2.5,Lube Oil,Low Vapour Pressure Product,Liquid,2009,Defect & Deterioration,Maintenance,Operation,1,
INC2009-021,Release of Substance,3/10/2009,Potter,Ontario,TransCanada PipeLines Limited,Closed,48.87172,-80.89396,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Maintenance,Maintenance,1,
INC2009-024,Serious Injury (NEB or TSB),3/13/2009,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.97494,-82.40703,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Incorrect Operation,Human Factors,Construction,0,
INC2009-026,Release of Substance,3/23/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.31724,-120.82153,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,External Interference,Failure in communication,Operation,1,
INC2009-031,Release of Substance,4/7/2009,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.97941,-121.06074,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Construction,1,
INC2009-032,Release of Substance,4/8/2009,Mattice,Ontario,TransCanada PipeLines Limited,Closed,49.58574,-83.16712,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Natural Force Damage,Engineering and Planning,Maintenance,1,
INC2009-034,Release of Substance,4/23/2009,Hamilton,Ontario,TransCanada PipeLines Limited,Closed,43.35064,-80.1193,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Construction,1,
INC2009-035,"Fire,Release of Substance",4/23/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65325,-122.68501,0.004,Sulphur,Commodity,Miscellaneous,2009,Defect & Deterioration,Maintenance,Maintenance,1,
INC2009-036,Release of Substance,4/30/2009,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14652,-120.66917,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,"External Interference,Incorrect Operation",Standards and Procedures,Operation,1,
INC2009-037,Release of Substance,5/1/2009,Upsala,Ontario,TransCanada PipeLines Limited,Closed,49.03329,-90.51006,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Engineering and Planning,Operation,1,
INC2009-039,Release of Substance,5/7/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01828,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Standards and Procedures,Operation,1,
INC2009-040,Release of Substance,5/7/2009,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26849,-122.93134,305,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2009,Defect & Deterioration,"Engineering and Planning,Standards and Procedures,Tools and Equipment",Construction,0,
INC2009-041,Release of Substance,5/11/2009,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Closed,54.93272,-117.25214,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,0,
INC2009-042,Release of Substance,5/14/2009,Not specified,Quebec,TransCanada PipeLines Limited,Closed,45.31394,-73.48289,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-043,Fire,5/15/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65334,-122.68482,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,Maintenance,Operation,0,
INC2009-045,Release of Substance,5/22/2009,Rosetown,Saskatchewan,Kinder Morgan Cochin ULC,Closed,51.55484,-107.996,6.36,Propane,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Standards and Procedures,Operation,1,
INC2009-047,Fire,5/24/2009,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56925,-121.94485,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-048,Release of Substance,5/27/2009,Wandering River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.67738,-112.18288,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Maintenance,Operation,1,
INC2009-049,Release of Substance,6/3/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01829,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Standards and Procedures,Maintenance,1,
INC2009-053,Release of Substance,6/22/2009,Loreburn,Saskatchewan,Alliance Pipeline Ltd.,Closed,51.2719,-106.75421,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,1,
INC2009-054,Release of Substance,6/28/2009,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68123,-95.37458,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Maintenance,Operation,1,
INC2009-055,Release of Substance,6/29/2009,Colborne,Ontario,Enbridge Pipelines Inc.,Closed,44.06958,-77.92945,1.8,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-056,Release of Substance,7/1/2009,Kobes,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.4929924,-121.335434,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,"Human Factors,Maintenance",Operation,1,
INC2009-057,Operation Beyond Design Limits,7/2/2009,Saint-Eustache,Quebec,Trans-Northern Pipelines Inc.,Closed,45.55865,-73.89602,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,"Engineering and Planning,Standards and Procedures",Operation,1,
INC2009-058,"Fire,Release of Substance",7/5/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.728528,-111.6805,17000,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,External Interference,Maintenance,Operation,0,
INC2009-060,Release of Substance,7/13/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.93456,-121.3121,4,Natural Gas - Sour,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Engineering and Planning,Construction,0,
INC2009-063,Release of Substance,7/15/2009,Smokey Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.09552,-112.31043,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-065,Fire,7/16/2009,Wainwright,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75424,-110.74467,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,External Interference,Standards and Procedures,Operation,0,
INC2009-066,"Fire,Release of Substance",7/20/2009,Hay River,Alberta,NOVA Gas Transmission Ltd.,Closed,58.208389,-118.501722,1450000,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,"Maintenance,Tools and Equipment",Operation,0,
INC2009-067,Release of Substance,7/20/2009,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.26269,-65.98211,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-068,Release of Substance,7/21/2009,Crowsnest Pass,Alberta,NOVA Gas Transmission Ltd.,Closed,49.62622,-114.51601,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,"Defect & Deterioration,Equipment Failure","Inadequate Supervision,Maintenance,Tools and Equipment",Operation,1,
INC2009-072,Fire,7/24/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.83306,-122.36517,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,"Inadequate Supervision,Maintenance",Operation,1,
INC2009-075,Release of Substance,7/31/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12549,-117.83828,40,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-076,Release of Substance,8/4/2009,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.58571,-116.43392,2.9,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Defect & Deterioration,Maintenance,Operation,1,
INC2009-078,Operation Beyond Design Limits,8/10/2009,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.97521,-82.40666,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,External Interference,Maintenance,Operation,1,
INC2009-079,Operation Beyond Design Limits,8/11/2009,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56925,-121.94466,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,"Inadequate Supervision,Maintenance",Maintenance,1,
INC2009-080,Fire,8/11/2009,Bowmanville,Ontario,TransCanada PipeLines Limited,Closed,43.96006,-78.81933,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,Maintenance,Maintenance,0,
INC2009-084,Release of Substance,8/24/2009,Williams Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,52.12922,-121.94289,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,1,
INC2009-086,Release of Substance,9/2/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.66911,-111.89811,0.5,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-087,Release of Substance,9/2/2009,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.05953,-119.89276,10,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Tools and Equipment,Operation,1,
INC2009-088,Release of Substance,9/2/2009,Burstall,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,50.65584,-109.90599,566.3,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,1,
INC2009-089,Release of Substance,9/3/2009,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.74862,-120.8587,12,Fuel Gas,High Vapour Pressure Product,Gas,2009,Equipment Failure,Standards and Procedures,Operation,1,
INC2009-090,Release of Substance,9/4/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.8308,-118.64572,100,Fuel Gas,High Vapour Pressure Product,Gas,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-092,Fire,9/10/2009,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54735,-113.35571,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,Equipment Failure,Maintenance,Operation,1,
INC2009-095,"Explosion,Fire,Release of Substance",9/12/2009,Englehart,Ontario,TransCanada PipeLines Limited,Closed,47.912847,-79.987089,3420000,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,Maintenance,Operation,0,
INC2009-096,Release of Substance,9/13/2009,Ste. Anne,Manitoba,TransCanada PipeLines Limited,Closed,49.71929,-96.98281,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2009,Corrosion & Cracking,"Maintenance,Standards and Procedures",Operation,1,
INC2009-100,Explosion,9/14/2009,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87381,-79.58002,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,External Interference,"Maintenance,Standards and Procedures",Maintenance,1,
INC2009-101,Fire,9/17/2009,Strome,Alberta,Enbridge Pipelines Inc.,Closed,52.93032,-112.07365,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2009,External Interference,Engineering and Planning,Operation,1,
